Date,Name,Year,Letterboxd URI,Rating
2020-01-01,Filth,2013,https://boxd.it/32NY,4
2020-01-28,The Shining,1980,https://boxd.it/29Nu,5
2020-01-28,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2020-01-28,Alien,1979,https://boxd.it/2awY,3.5
2020-01-28,Nebraska,2013,https://boxd.it/4exq,3.5
2020-01-28,The Devil and Daniel Johnston,2005,https://boxd.it/1QzI,4
2020-01-28,Dunkirk,2017,https://boxd.it/d0Y6,3
2020-01-28,Se7en,1995,https://boxd.it/29zs,5
2020-01-28,Léon: The Professional,1994,https://boxd.it/2b8S,4
2020-01-28,Mystic River,2003,https://boxd.it/2aAG,3.5
2020-01-28,Bottle Rocket,1996,https://boxd.it/1PDa,4
2020-01-28,Submarine,2010,https://boxd.it/H4a,3.5
2020-01-28,Blue Valentine,2010,https://boxd.it/MxG,3
2020-01-28,Isle of Dogs,2018,https://boxd.it/dZrW,3.5
2020-01-28,Dancer in the Dark,2000,https://boxd.it/71E,3
2020-01-28,It Follows,2014,https://boxd.it/87wo,3
2020-01-28,American History X,1998,https://boxd.it/2bdo,3.5
2020-01-28,Memento,2000,https://boxd.it/2bcK,4.5
2020-01-28,The Machinist,2004,https://boxd.it/248c,3
2020-01-28,Control,2007,https://boxd.it/22IC,4
2020-01-28,Happiness,1998,https://boxd.it/1VEe,3.5
2020-01-28,The Disaster Artist,2017,https://boxd.it/cTqc,3
2020-01-28,The Two Popes,2019,https://boxd.it/k8Xk,3
2020-01-28,Logan,2017,https://boxd.it/7Piy,4
2020-01-28,The Revenant,2015,https://boxd.it/8H5e,3
2020-01-28,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3
2020-01-28,Shutter Island,2010,https://boxd.it/1U82,4
2020-01-28,The Intouchables,2011,https://boxd.it/2FT0,3.5
2020-01-28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2020-01-28,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2020-01-28,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,3.5
2020-01-28,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2020-01-28,Kill Bill: The Whole Bloody Affair,2004,https://boxd.it/eCrQ,3.5
2020-01-28,Che: Part One,2008,https://boxd.it/1ZGe,3.5
2020-01-28,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2020-01-28,Back to the Future,1985,https://boxd.it/2b8e,4.5
2020-01-28,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2020-01-28,Back to the Future Part III,1990,https://boxd.it/2aTS,3.5
2020-01-28,Marriage Story,2019,https://boxd.it/hJAw,3
2020-01-28,The Irishman,2019,https://boxd.it/dYOq,4
2020-01-28,El Angel,2018,https://boxd.it/ilA0,3.5
2020-04-16,Dead Poets Society,1989,https://boxd.it/2aSg,3
2020-04-16,The Green Mile,1999,https://boxd.it/2agG,3.5
2020-04-16,The Platform,2019,https://boxd.it/mUm6,2.5
2020-04-16,The Social Network,2010,https://boxd.it/17ue,3
2020-04-16,Rocketman,2019,https://boxd.it/iehK,2.5
2020-04-16,The Imitation Game,2014,https://boxd.it/6aig,3.5
2020-04-16,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2020-04-16,Trainspotting,1996,https://boxd.it/29XY,5
2020-04-16,Taxi Driver,1976,https://boxd.it/2b8y,4
2020-04-16,Parasite,2019,https://boxd.it/hTha,5
2020-04-16,The Neon Demon,2016,https://boxd.it/9AnW,2
2020-04-16,Psycho,1960,https://boxd.it/2ab2,4
2020-04-16,Reservoir Dogs,1992,https://boxd.it/2agc,4
2020-04-16,Catch Me If You Can,2002,https://boxd.it/29VS,4
2020-04-16,Saving Private Ryan,1998,https://boxd.it/29ro,4
2020-04-16,Sully,2016,https://boxd.it/cD8Q,3
2020-04-16,Captain Phillips,2013,https://boxd.it/3GPK,3
2020-04-16,The Terminal,2004,https://boxd.it/2a2O,4
2020-04-16,Ready Player One,2018,https://boxd.it/aZes,3
2020-04-16,Big Eyes,2014,https://boxd.it/36ms,3
2020-04-16,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2020-04-17,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2020-04-17,Booksmart,2019,https://boxd.it/igNS,2
2020-05-03,Bird Box,2018,https://boxd.it/eh1i,2
2020-05-03,Split,2016,https://boxd.it/dgSy,3
2020-05-03,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2020-05-03,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2020-05-03,Castle in the Sky,1986,https://boxd.it/1W4G,4
2020-05-03,Ocean Waves,1993,https://boxd.it/1CtQ,2
2020-05-04,Fight Club,1999,https://boxd.it/2a9q,5
2020-05-04,The Prestige,2006,https://boxd.it/293w,4
2020-05-04,Death in Buenos Aires,2014,https://boxd.it/9oYc,3
2020-05-04,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,3
2020-05-04,War for the Planet of the Apes,2017,https://boxd.it/8FE2,3
2020-05-04,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2020-05-05,Gone Girl,2014,https://boxd.it/6hQu,4
2020-05-09,Green Book,2018,https://boxd.it/hErk,3.5
2020-06-11,The Godfather,1972,https://boxd.it/2aNK,4.5
2020-06-12,The Godfather Part II,1974,https://boxd.it/2aNq,5
2020-06-14,Knives Out,2019,https://boxd.it/jWEA,4
2020-06-16,Casino,1995,https://boxd.it/2ads,4.5
2020-06-19,Your Name.,2016,https://boxd.it/cUqs,4.5
2020-06-19,Weathering with You,2019,https://boxd.it/kPxE,3
2020-06-19,Before Sunset,2004,https://boxd.it/2bcg,4
2020-06-21,Babel,2006,https://boxd.it/292o,3.5
2020-06-22,The Conjuring 2,2016,https://boxd.it/7GJg,3
2020-06-22,The Conjuring,2013,https://boxd.it/4sr2,3
2020-06-23,Midsommar,2019,https://boxd.it/jhxe,2.5
2020-06-24,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2020-06-30,Ouija,2014,https://boxd.it/77SM,0.5
2020-06-30,The Heist of the Century,2020,https://boxd.it/mvuY,2.5
2020-07-01,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,3
2020-07-01,The Lion King,2019,https://boxd.it/eSjI,1.5
2020-07-03,Eli,2019,https://boxd.it/hn4S,1.5
2020-07-05,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2020-07-13,1922,2017,https://boxd.it/g8CS,2
2020-07-13,After,2019,https://boxd.it/jBb8,0.5
2020-07-19,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,3.5
2020-07-19,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,3
2020-07-19,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4
2020-07-19,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3
2020-07-23,Chinese Take-Away,2011,https://boxd.it/2eGy,3.5
2020-07-27,The Kissing Booth 2,2020,https://boxd.it/lrky,0.5
2020-07-28,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2020-07-29,The Thing,1982,https://boxd.it/294O,4
2020-07-30,Schindler's List,1993,https://boxd.it/2aq2,4
2020-07-30,Creep 2,2017,https://boxd.it/dSEO,3.5
2020-07-31,Snatch,2000,https://boxd.it/2b7U,4.5
2020-07-31,Natural Born Killers,1994,https://boxd.it/2aNg,3.5
2020-07-31,Corpse Bride,2005,https://boxd.it/24WQ,4
2020-07-31,The Blair Witch Project,1999,https://boxd.it/26ua,2
2020-07-31,Seven Psychopaths,2012,https://boxd.it/34PW,3
2020-08-01,The Impossible,2012,https://boxd.it/2N9k,3.5
2020-08-01,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2020-08-03,Steve Jobs,2015,https://boxd.it/araG,3.5
2020-08-03,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2020-08-03,Shrek,2001,https://boxd.it/29zi,5
2020-08-03,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2020-08-04,Funny Games,1997,https://boxd.it/1WKM,4
2020-08-06,How to Talk to Girls at Parties,2017,https://boxd.it/bo80,2.5
2020-08-06,Good Will Hunting,1997,https://boxd.it/2ahY,4
2020-08-06,A Ghost Story,2017,https://boxd.it/fb0K,3.5
2020-08-06,Requiem for a Dream,2000,https://boxd.it/29VI,4
2020-08-06,Zodiac,2007,https://boxd.it/27MO,4
2020-08-06,Da 5 Bloods,2020,https://boxd.it/lnXw,3.5
2020-08-11,Princess Mononoke,1997,https://boxd.it/2b4w,5
2020-08-11,Pulp Fiction,1994,https://boxd.it/29Pq,4
2020-08-11,Donnie Darko,2001,https://boxd.it/2b2A,4
2020-08-12,Fargo,1996,https://boxd.it/2aHM,4
2020-08-14,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,2.5
2020-08-31,Wild Tales,2014,https://boxd.it/7UmK,4.5
2020-09-01,Maggie,2015,https://boxd.it/8Vfi,3
2020-09-05,Boyz n the Hood,1991,https://boxd.it/29Ug,4
2020-09-09,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3.5
