Date,Name,Year,Letterboxd URI
2020-07-28,Come and See,1985,https://boxd.it/1w9q
2020-07-28,Raging Bull,1980,https://boxd.it/28yI
2020-07-31,Frances Ha,2012,https://boxd.it/41Xg
2020-07-31,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2020-07-31,Hunger,2008,https://boxd.it/1Wso
2020-07-31,Metropolitan,1990,https://boxd.it/1Mku
2020-07-31,The Departed,2006,https://boxd.it/28MA
2020-07-31,Shoplifters,2018,https://boxd.it/ifY6
2020-07-31,Sorry to Bother You,2018,https://boxd.it/f21E
2020-07-31,A Single Man,2009,https://boxd.it/1dx4
2020-07-31,Annihilation,2018,https://boxd.it/9yzm
2020-08-01,Y Tu Mamá También,2001,https://boxd.it/28QM
2020-08-03,Isle of Dogs,2018,https://boxd.it/dZrW
2020-08-05,The King of Pigs,2011,https://boxd.it/3cvU
2020-08-06,Heaven Knows What,2014,https://boxd.it/8P1a
2020-08-06,Children of Men,2006,https://boxd.it/1Y2i
2020-08-06,Manhunter,1986,https://boxd.it/1TOw
2020-08-06,The Farewell,2019,https://boxd.it/kIky
2020-08-06,Room,2015,https://boxd.it/7T0y
2020-08-06,Doctor Sleep,2019,https://boxd.it/i5vI
2020-08-06,Amélie,2001,https://boxd.it/2aUc
2020-08-06,Snowpiercer,2013,https://boxd.it/3Icg
2020-08-14,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2020-08-16,Buster's Mal Heart,2016,https://boxd.it/cIAg
2020-09-05,Dogville,2003,https://boxd.it/2a8W
2020-09-05,The Lodge,2019,https://boxd.it/h2c2
2020-09-18,"Synecdoche, New York",2008,https://boxd.it/23zw
2020-10-14,Dick Johnson Is Dead,2020,https://boxd.it/oigy
2020-12-04,Lion,2016,https://boxd.it/b2La
2020-12-29,His House,2020,https://boxd.it/l8Qq
2020-12-29,The King of Staten Island,2020,https://boxd.it/litG
2021-01-14,Dune,2021,https://boxd.it/fA7G
2021-01-16,The Double Life of Véronique,1991,https://boxd.it/28va
2021-04-05,Moon,2009,https://boxd.it/1IGQ
2021-04-08,Wind River,2017,https://boxd.it/dR3i
2021-07-23,Alphaville,1965,https://boxd.it/20AG
2021-08-20,Werckmeister Harmonies,2000,https://boxd.it/1zzw
2021-08-20,Satantango,1994,https://boxd.it/1j9M
2021-08-20,First Reformed,2017,https://boxd.it/go9C
2021-08-20,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2021-12-24,The Matrix Resurrections,2021,https://boxd.it/n87k
2022-07-16,Millennium Actress,2001,https://boxd.it/1fK0
2022-07-16,Memories,1995,https://boxd.it/Vz2
2022-11-29,Detachment,2011,https://boxd.it/2BiY
2022-12-22,Dark City,1998,https://boxd.it/26uk
2023-03-13,Death and the Maiden,1994,https://boxd.it/1W26
2023-07-19,Smiley Face,2007,https://boxd.it/1QG0
2023-07-26,Blondi,2023,https://boxd.it/B77m
2023-09-10,Ran,1985,https://boxd.it/1Tlu
2023-12-03,"Khrustalyov, My Car!",1998,https://boxd.it/3rPg
2023-12-24,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-12-29,Beau Is Afraid,2023,https://boxd.it/u2gE
2024-01-01,Heroic Losers,2019,https://boxd.it/lXFS
2024-01-01,Everybody Knows,2018,https://boxd.it/e6AG
2024-01-01,The Summit,2017,https://boxd.it/fEvM
2024-01-12,Noroi: The Curse,2005,https://boxd.it/1BN6
2024-03-15,Fear City: A Family-Style Comedy,1994,https://boxd.it/1MOO
2024-03-29,Stalker,1979,https://boxd.it/28PO
2024-03-31,The Devil's Advocate,1997,https://boxd.it/286k
2024-03-31,Song to Song,2017,https://boxd.it/aR5C
2024-04-07,Carol,2015,https://boxd.it/7DPK
2024-04-12,Monkey Man,2024,https://boxd.it/kvsO
